# mde : releve automatique des PDF d'horaire officiels.
# Genere par tools_pdf_horaires.py, ne pas editer a la main sans raison.

@semestre automne-2026
Lundi | 08:30 | 12:00 | Sociétés de capitaux et financement d'entreprise | Internef/275 | hebdomadaire | 
Lundi | 08:30 | 12:00 | Innovation and Control Systems | Anthropole 3 | quinzaine | Débute le 28 septembre 0 2 1 - D a vi la Antonio
Lundi | 08:30 | 12:00 | r s h ip , P r o p ri été | Synathlon/2420 | irregulier | /
Lundi | 08:30 | 12:00 | Taxation o f e enterprises and t ransfer e pricing policy | Internef/121 | irregulier | 
Lundi | 10:15 | 12:00 | ne E and Machine Learning |  | irregulier | 
Lundi | 13:15 | 15:00 | Fiscalité de l'entreprise - impôts directs | Internef/271 | hebdomadaire | Automne
Lundi | 14:15 | 18:00 | Leadership Development | Amphimax/412 | hebdomadaire | Débute le 28 septembre
Lundi | 14:15 | 17:00 | Entraide judiciaire internationale en matière pénale | Internef/233 | hebdomadaire | Trimestre 2
Lundi | 14:15 | 18:00 | Advanced issues in International and European Tax Law | Synathlon/2420 | hebdomadaire | Prof. (en rempl. du Prof. Danon) Trimestre 2
Lundi | 15:15 | 17:00 | Séminaire de droit des affaires | Anthropole/3021 | hebdomadaire | 
Lundi | 15:15 | 19:00 | IA en comptabilité, contrôle et finance | Anthropole/2106 | hebdomadaire | 
Mardi | 08:30 | 12:00 | Comptabilité et analyse des états financiers | Anthropole/2013 | hebdomadaire | 
Mardi | 08:30 | 12:00 | Corporate | Anthropole 4021 | irregulier | 
Mardi | 08:30 | 12:00 | Procédure juridiction | Internef/272 | irregulier | 
Mardi | 09:15 | 12:00 | e-s Arbitrage en droit sport | Cubotron/I | irregulier | gradin
Mardi | 10:15 | 12:00 | Droit des obligations | Anthropole/3021 | hebdomadaire | 
Mardi | 10:15 | 12:00 | c i v ile e t c o m m e | Internef/126 | irregulier | Hebdomada
Mardi | 12:15 | 14:00 | Séminaire de restructuration financière | Internef/272 | irregulier | 
Mardi | 12:30 | 14:00 | Droit des obligations | Anthropole/3021 | hebdomadaire | 
Mardi | 12:30 | 14:00 | Microeconomics and Game Theory | Internef/233 | hebdomadaire | 
Mardi | 14:15 | 16:00 | Droit public | Internef/231 | hebdomadaire | 
Mardi | 14:15 | 18:00 | Empirical Methods for Lawyers | Internef/233 | hebdomadaire | 
Mardi | 14:15 | 16:00 | in and Machine Learning - Internef / |  | irregulier | 
Mardi | 14:15 | 18:00 | T/ax Disputes & Investment Treaty Arbitration Wuschka (rempl. du Prof. Danon) | Internef/275 | irregulier | Trimestre 1
Mardi | 15:15 | 19:00 | Corporate | Internef/263 | irregulier | F inance (MScF) / Sauf le 15 septembre et 17 novembre à Génopode / C
Mercredi | 08:00 | 12:00 | à la finance | Amphimax/412 | irregulier | 
Mercredi | 08:15 | 10:00 | Economie I |  | irregulier | Groupe B C - - Exercic e s - S t r a Amphipô le / d 'e D - Ayoubi - Charles, Gallea Quentin 412 - Hebdom ad a ir e M o n n
